Fecha;Hora;Tensión L1 Min;Tensión L1 Med;Tensión L1 Max;Tensión L2 Min;Tensión L2 Med;Tensión L2 Max;Tensión L3 Min;Tensión L3 Med;Tensión L3 Max;Corriente L1 Min;Corriente L1 Med;Corriente L1 Max;Corriente L2 Min;Corriente L2 Med;Corriente L2 Max;Corriente L3 Min;Corriente L3 Med;Corriente L3 Max;Corriente N Min;Corriente N Med;Corriente N Max;Frecuencia Min;Frecuencia Med;Frecuencia Max;Potencia Activa L1 Min;Potencia Activa L1 Med;Potencia Activa L1 Max;Potencia Activa L2 Min;Potencia Activa L2 Med;Potencia Activa L2 Max;Potencia Activa L3 Min;Potencia Activa L3 Med;Potencia Activa L3 Max;Potencia Activa Total Min;Potencia Activa Total Med;Potencia Activa Total Max;Potencia Reactiva L1 Min;Potencia Reactiva L1 Med;Potencia Reactiva L1 Max;Potencia Reactiva L2 Min;Potencia Reactiva L2 Med;Potencia Reactiva L2 Max;Potencia Reactiva L3 Min;Potencia Reactiva L3 Med;Potencia Reactiva L3 Max;Potencia Reactiva Total Min;Potencia Reactiva Total Med;Potencia Reactiva Total Max;Potencia Aparente L1 Min;Potencia Aparente L1 Med;Potencia Aparente L1 Max;Potencia Aparente L2 Min;Potencia Aparente L2 Med;Potencia Aparente L2 Max;Potencia Aparente L3 Min;Potencia Aparente L3 Med;Potencia Aparente L3 Max;Potencia Aparente Total Min;Potencia Aparente Total Med;Potencia Aparente Total Max;Potencia de distorsión L1 Min;Potencia de distorsión L1 Med;Potencia de distorsión L1 Max;Potencia de distorsión L2 Min;Potencia de distorsión L2 Med;Potencia de distorsión L2 Max;Potencia de distorsión L3 Min;Potencia de distorsión L3 Med;Potencia de distorsión L3 Max;Potencia de distorsión Total Min;Potencia de distorsión Total Med;Potencia de distorsión Total Max;Factor de Potencia L1 Min;Factor de Potencia L1 Med;Factor de Potencia L1 Max;Factor de Potencia L2 Min;Factor de Potencia L2 Med;Factor de Potencia L2 Max;Factor de Potencia L3 Min;Factor de Potencia L3 Med;Factor de Potencia L3 Max;Factor de Potencia Total Min;Factor de Potencia Total Med;Factor de Potencia Total Max;Cos Phi L1 Min;Cos Phi L1 Med;Cos Phi L1 Max;Cos Phi L2 Min;Cos Phi L2 Med;Cos Phi L2 Max;Cos Phi L3 Min;Cos Phi L3 Med;Cos Phi L3 Max;Energia activa L1 Min;Energia activa L1 Med;Energia activa L1 Max;Energia activa L2 Min;Energia activa L2 Med;Energia activa L2 Max;Energia activa L3 Min;Energia activa L3 Med;Energia activa L3 Max;Energia activa Total Min;Energia activa Total Med;Energia activa Total Max;Energía Reactiva L1 Min;Energía Reactiva L1 Med;Energía Reactiva L1 Max;Energía Reactiva L2 Min;Energía Reactiva L2 Med;Energía Reactiva L2 Max;Energía Reactiva L3 Min;Energía Reactiva L3 Med;Energía Reactiva L3 Max;Energía Reactiva Total Min;Energía Reactiva Total Med;Energía Reactiva Total Max;THD V L1 Min;THD V L1 Med;THD V L1 Max;THD V L2 Min;THD V L2 Med;THD V L2 Max;THD V L3 Min;THD V L3 Med;THD V L3 Max;THD A L1 Min;THD A L1 Med;THD A L1 Max;THD A L2 Min;THD A L2 Med;THD A L2 Max;THD A L3 Min;THD A L3 Med;THD A L3 Max;THD A N Min;THD A N Med;THD A N Max
06/05/2026;19:08:03 0ms;269,618;270,464;271,145;267,982;268,773;269,564;271,8;272,782;273,6;446,182;458,591;506,591;441,818;452,318;496,909;493,091;505,636;549,136;15;15,409;16,909;59,95;60,03;60,11;98247,273;101258,18;111730,906;106494,547;109309,094;119650,906;113825,453;117098,18;127701,82;318567,281;327665,438;359083,625;67418,18;69709,094;81294,547;50072,727;51512,727;63556,363;69709,094;71803,633;83520;187200;193025,453;228370,906;120763,633;124036,367;136603,641;118669,094;121614,547;133134,547;134509,094;137912,734;149301,813;373941,813;383563,656;419040;0;15970,909;35410,91;0;13221,818;31941,818;0;12174,546;33447,273;0;41367,273;100800;0,791;0,816;0,827;0,872;0,898;0,906;0,824;0,848;0,856;0,829;0,854;0,863;0,799;0,822;0,827;0,877;0,903;0,907;0,827;0,851;0,857;8442,816;8442,816;8442,816;9111,53;9111,53;9111,53;9761,59;9761,59;9761,59;27315,938;27315,938;27315,938;5812,151;5812,151;5812,151;4297,172;4297,172;4297,172;5986,381;5986,381;5986,381;16095,703;16095,703;16095,703;1,7;1,7;1,8;1,6;1,6;1,7;1,6;1,6;1,7;11,7;13,1;13,6;10,9;12,1;12,6;9;9,8;10,2;20,4;22,4;24,3
06/05/2026;19:13:03 0ms;270,655;271,091;271,636;268,8;269,4;269,945;273,109;273,491;273,927;445,909;457,5;492,273;441,136;451,227;489,136;493,636;506,182;543,136;15,136;15,409;16,5;59,93;60;60,06;98050,906;100800;110094,547;106494,547;109178,18;119454,547;113825,453;117229,094;126392,727;318370,906;327207,281;355941,813;68203,633;70363,633;78872,727;50334,547;51709,09;60480;70363,633;72523,633;82538,18;188901,813;194596,359;221890,906;120763,633;124036,367;133265,453;118800;121549,094;131694,547;134836,359;138436,359;148450,906;374400;384021,813;413410,906;0;16232,728;28407,273;0;13221,818;26509,092;0;12370,909;26770,908;0;41825,453;81687,273;0,795;0,812;0,826;0,879;0,897;0,907;0,83;0,846;0,854;0,835;0,852;0,862;0,809;0,818;0,822;0,89;0,903;0,906;0,836;0,849;0,856;16846,254;16846,254;16846,254;18211,938;18211,938;18211,938;19533,547;19533,547;19533,547;54591,738;54591,738;54591,738;11677,414;11677,414;11677,414;8609,372;8609,372;8609,372;12031,445;12031,445;12031,445;32318,23;32318,23;32318,23;1,7;1,7;1,8;1,6;1,6;1,7;1,6;1,6;1,6;11,9;13,2;13,8;11;12,2;12,7;9;9,8;10,2;20,2;21,6;23
06/05/2026;19:18:03 0ms;270,873;271,364;271,909;269,018;269,591;270,055;272,945;273,545;273,927;435,955;450;482,318;434,864;443,727;474,545;489,273;497,455;533,182;15,136;15,136;16,364;59,92;59,98;60,05;95236,367;99098,18;105970,906;105250,906;107280;114872,727;112385,453;115069,094;123120;312872,719;321447,281;343963,625;67810,906;69447,273;77432,727;49090,91;51185,453;57534,547;70756,367;71541,82;79723,633;187658,188;192174,547;214690,906;118210,906;122138,18;130647,273;117163,633;119585,453;127636,367;133658,188;136080;145505,453;369032,719;377803,625;403789,094;0;16167,272;24480;0;13090,909;21992,727;0;12240;22778,182;0;41498,18;69250,906;0,802;0,811;0,821;0,886;0,896;0,909;0,836;0,845;0,853;0,841;0,851;0,861;0,805;0,817;0,822;0,893;0,901;0,907;0,837;0,848;0,854;25109,611;25109,611;25109,611;27159,123;27159,123;27159,123;29125,938;29125,938;29125,938;81394,672;81394,672;81394,672;17468,748;17468,748;17468,748;12876,888;12876,888;12876,888;17999,623;17999,623;17999,623;48345,258;48345,258;48345,258;1,7;1,7;1,8;1,6;1,6;1,7;1,6;1,6;1,7;12,2;13,3;14,1;11,2;12,2;12,6;9,2;9,9;10,3;20,3;21,7;23,1
06/05/2026;19:23:03 0ms;271,255;271,827;272,564;269,4;269,945;270,655;273,327;273,818;274,527;435,818;441,136;477,955;433,5;438,136;468,273;487,5;492,545;527,455;15;15,136;16,364;59,92;59,98;60,09;95498,18;96741,82;105054,547;105054,547;106167,273;113301,82;111796,367;113367,273;122072,727;312349,094;316276,375;340429,094;68007,273;68989,094;75927,273;49483,637;50465,453;55701,816;71018,18;71934,547;77432,727;188509,094;191389,094;209061,813;118603,633;119912,727;129730,906;116967,273;118276,367;126130,906;133527,266;134901,813;144196,359;369098,188;373090,906;400058,188;5301,818;16167,272;28276,363;0;12960;25461,818;0;12174,546;27098,182;5301,818;41301,82;80836,359;0,79;0,806;0,812;0,883;0,897;0,902;0,832;0,84;0,847;0,835;0,848;0,854;0,807;0,812;0,818;0,896;0,902;0,906;0,839;0,843;0,849;33167,996;33167,996;33167,996;36002,633;36002,633;36002,633;38573,902;38573,902;38573,902;107744,531;107744,531;107744,531;23218,199;23218,199;23218,199;17083,182;17083,182;17083,182;23995,324;23995,324;23995,324;64296,703;64296,703;64296,703;1,7;1,7;1,8;1,6;1,6;1,7;1,6;1,6;1,7;12,5;13,5;14;11,3;12,1;12,6;9,3;10;10,2;20,1;21,7;23,1
06/05/2026;19:28:03 0ms;270,109;271,309;271,964;268,582;269,591;270,218;272,4;273,464;274,091;439,909;448,364;495,955;435,545;443,864;477,409;490,091;496,091;529,227;15,136;15,136;16,364;59,95;60;60,08;96349,094;98836,367;107934,547;105381,82;107345,453;115723,633;112712,727;114545,453;122989,094;314443,625;320727,281;346647,281;67876,367;69054,547;80640;49941,816;51250,91;58843,637;70036,367;71607,273;80050,906;187854,547;191912,734;219534,547;119389,094;121614,547;134509,094;117621,82;119650,906;128356,367;134050,906;135621,813;144458,188;371061,813;376887,25;407323,656;0;16036,363;29061,818;0;13025,454;21992,727;0;12109,091;23760;0;41170,906;74814,547;0,79;0,811;0,823;0,87;0,896;0,903;0,835;0,843;0,855;0,832;0,85;0,86;0,796;0,818;0,823;0,876;0,901;0,904;0,834;0,847;0,858;41404,539;41404,539;41404,539;44947,969;44947,969;44947,969;48119,609;48119,609;48119,609;134472,125;134472,125;134472,125;28975,482;28975,482;28975,482;21353,949;21353,949;21353,949;29962,682;29962,682;29962,682;80292,109;80292,109;80292,109;1,7;1,7;1,8;1,6;1,6;1,7;1,6;1,6;1,6;12,2;13,3;13,9;11;12,1;12,6;9,1;9,9;10,2;19,9;21,9;23,1
06/05/2026;19:33:03 0ms;269,727;270,655;271,418;268,2;268,964;269,727;272,018;272,918;273,655;443,455;455,727;504,545;439,227;448,773;493,364;490,227;501,682;546,955;15;15,273;16,773;59,94;59,99;60,08;97527,273;100472,727;109309,094;105905,453;108261,82;117556,367;113040;115985,453;124363,633;316472,719;324720;351229,094;67745,453;69709,094;82145,453;50400;51709,09;64014,547;70101,82;71672,727;84043,633;188247,281;193090,906;230203,625;120240;123316,367;136341,813;118210,906;120698,18;132610,906;133854,547;136865,453;149105,453;372305,438;380880;418058,188;0;15970,909;24414,545;0;13156,363;21861,818;0;12174,546;21534,545;0;41301,82;67810,906;0,79;0,814;0,824;0,869;0,896;0,902;0,821;0,846;0,854;0,827;0,852;0,86;0,794;0,82;0,825;0,874;0,901;0,904;0,824;0,849;0,856;49780,379;49780,379;49780,379;53974,156;53974,156;53974,156;57788,855;57788,855;57788,855;161543,391;161543,391;161543,391;34787,367;34787,367;34787,367;25665,289;25665,289;25665,289;35936,926;35936,926;35936,926;96389,578;96389,578;96389,578;1,7;1,7;1,8;1,6;1,6;1,6;1,6;1,6;1,6;11,9;13,1;13,8;10,9;12,1;12,7;9;9,8;10,3;19,9;22,1;23,6
06/05/2026;19:38:03 0ms;270;270,736;271,473;268,145;269,1;269,836;272,345;272,918;273,6;431,455;446,591;497,045;433,091;445,227;489,409;486,545;498,136;542,182;14,727;15,273;16,5;59,95;59,99;60,11;94123,633;98050,906;110356,367;104661,82;107672,727;118210,906;111076,367;114545,453;125672,727;309861,813;320269,094;354240;66698,18;68858,18;78807,273;48829,09;50858,184;60480;70756,367;72196,367;81621,82;186283,641;191912,734;220909,094;116705,453;120894,547;134443,641;116312,727;119847,273;131563,641;132610,906;135949,094;147796,359;365629,094;376690,906;413803,625;0;15970,909;31221,818;0;12960;29192,727;0;12109,091;31025,455;0;41040;91440;0,797;0,81;0,82;0,876;0,898;0,908;0,827;0,841;0,853;0,833;0,85;0,86;0,806;0,817;0,825;0,89;0,903;0,907;0,831;0,844;0,855;57953,945;57953,945;57953,945;62951,602;62951,602;62951,602;67334,953;67334,953;67334,953;188240,5;188240,5;188240,5;40527,125;40527,125;40527,125;29904,973;29904,973;29904,973;41955,395;41955,395;41955,395;112387,492;112387,492;112387,492;1,7;1,7;1,8;1,6;1,6;1,6;1,6;1,6;1,6;11,6;13,3;14,1;10,9;12,1;12,7;8,9;9,9;10,3;19,9;22,4;23,9
06/05/2026;19:43:03 0ms;270,164;270,764;271,418;268,364;268,991;269,564;272,291;272,864;273,436;433,909;440,591;495,955;433,364;438,136;468,136;486,818;492,545;524,864;14,727;15;16,364;59,9;59,99;60,08;94712,727;96480;106298,18;104596,367;105970,906;113301,82;111403,633;113236,367;121483,633;310712,719;315687,281;341083,625;67156,367;68269,094;80050,906;48567,273;49810,91;57010,91;70232,727;71280;77825,453;185956,375;189360;214887,266;117490,906;119323,633;134050,906;116509,094;117818,18;125672,727;132807,266;134378,188;143018,188;366807,25;371520;402741,813;4123,636;16101,818;30829,092;0;13090,909;28734,545;0;12174,546;30305,455;4123,636;41367,273;89869,094;0,787;0,808;0,816;0,873;0,898;0,903;0,822;0,842;0,858;0,827;0,849;0,859;0,798;0,814;0,822;0,879;0,904;0,908;0,836;0,845;0,859;65995,281;65995,281;65995,281;71784,063;71784,063;71784,063;76775,438;76775,438;76775,438;214554,781;214554,781;214554,781;46219,582;46219,582;46219,582;34059,582;34059,582;34059,582;47900,543;47900,543;47900,543;128179,703;128179,703;128179,703;1,7;1,7;1,8;1,6;1,6;1,6;1,6;1,6;1,6;12,3;13,5;14,1;11,5;12,3;12,7;9,4;10;10,3;21,2;22,7;24,3
06/05/2026;19:48:03 0ms;270,164;270,791;271,418;268,255;268,991;269,564;272,073;272,864;273,6;445,091;451,5;489;436,5;441,682;478,5;487,773;493,636;530,182;14,864;15,136;16,364;59,85;59,96;60,04;97985,453;99556,367;108196,367;104923,633;106298,18;115134,547;112516,367;114283,633;122465,453;315425,438;320138,188;345796,375;68138,18;69120;76581,82;50138,184;51316,363;58516,363;68989,094;70298,18;77760;187265,453;190734,547;212858,188;120698,18;122269,094;132349,094;117425,453;118800;128618,18;132741,813;134705,453;144589,094;370865,438;375774,563;405556,375;0;16036,363;28080;0;13025,454;26705,455;0;12043,637;28341,818;0;41105,453;83127,273;0,801;0,813;0,822;0,876;0,894;0,9;0,831;0,847;0,853;0,836;0,851;0,858;0,814;0,82;0,823;0,89;0,899;0,903;0,843;0,85;0,855;74294,219;74294,219;74294,219;80644,945;80644,945;80644,945;86299,195;86299,195;86299,195;241238,359;241238,359;241238,359;51980,355;51980,355;51980,355;38339,152;38339,152;38339,152;53758,191;53758,191;53758,191;144077,703;144077,703;144077,703;1,7;1,7;1,8;1,6;1,6;1,7;1,6;1,6;1,6;11,8;13,2;13,7;11;12,1;12,7;9,1;9,9;10,2;21,1;22,3;23,6
06/05/2026;19:53:03 0ms;270,436;271,036;271,636;268,636;269,264;270;272,618;273,245;273,927;443,318;449,318;487,636;435,273;441,273;477,818;488,864;494,318;533,591;15;15,136;16,364;59,95;59,98;60,06;97200;98901,82;107541,82;104661,82;106429,094;115003,633;112778,18;114349,094;123120;314640;319680;345665,438;67941,82;69185,453;76778,18;50007,273;51120;58647,273;69709,094;70821,82;78872,727;187658,188;191127,281;214298,188;120109,094;121810,906;132021,813;117098,18;118800;128552,727;133527,266;135098,188;145767,266;370734,531;375709,094;406341,813;0;16167,272;22843,637;0;13221,818;22123,637;0;12109,091;21600;0;41498,18;66567,273;0,803;0,811;0,823;0,884;0,895;0,905;0,838;0,846;0,852;0,842;0,851;0,86;0,809;0,818;0,822;0,889;0,9;0,903;0,839;0,849;0,852;82539,906;82539,906;82539,906;89516,398;89516,398;89516,398;95832,938;95832,938;95832,938;267889,25;267889,25;267889,25;57747,734;57747,734;57747,734;42600,918;42600,918;42600,918;59663,285;59663,285;59663,285;160011,938;160011,938;160011,938;1,7;1,7;1,8;1,6;1,6;1,7;1,6;1,6;1,6;12;13,4;13,9;11;12,3;12,7;9,1;10;10,3;20,3;22,1;23,6
